,Mkt-RF,SMB,HML,RF
198304,    6.67,    0.54,    0.60,    0.71
198305,    0.52,    6.15,   -1.39,    0.69
198306,    3.07,    0.90,   -3.86,    0.67
198307,   -4.07,    1.47,    5.58,    0.74
198308,   -0.50,   -4.29,    5.52,    0.76
198309,    0.92,    0.56,    1.06,    0.76
198310,   -3.44,   -3.60,    5.02,    0.76
198311,    2.16,    2.03,   -0.64,    0.70
198312,   -1.78,   -0.29,    1.68,    0.73
198401,   -1.92,   -0.43,    7.60,    0.76
198402,   -4.82,   -1.70,    3.30,    0.71
198403,    0.63,    0.06,    0.48,    0.73
198404,   -0.52,   -1.19,    1.24,    0.81
198405,   -5.97,    0.05,    0.24,    0.78
198406,    1.82,   -0.31,   -2.61,    0.75
198407,   -2.74,   -2.21,    0.43,    0.82
198408,   10.28,   -0.25,   -1.81,    0.83
198409,   -0.80,    0.22,    5.28,    0.86
198410,   -0.84,   -1.21,    0.49,    1.00
198411,   -1.76,   -0.61,    4.05,    0.73
198412,    1.84,   -0.60,   -0.16,    0.64
198501,    7.99,    3.27,   -5.40,    0.65
198502,    1.22,    0.77,   -0.14,    0.58
198503,   -0.84,   -1.14,    4.05,    0.62
198504,   -0.96,    0.15,    3.71,    0.72
198505,    5.09,   -2.25,   -0.85,    0.66
198506,    1.27,    0.56,    0.55,    0.55
198507,   -0.74,    2.85,   -1.66,    0.62
198508,   -1.02,   -0.34,    2.25,    0.55
198509,   -4.54,   -1.58,    1.32,    0.60
198510,    4.02,   -1.57,    0.78,    0.65
198511,    6.48,    0.22,   -2.92,    0.61
198512,    3.88,   -0.50,   -1.58,    0.65
198601,    0.65,    1.22,    0.56,    0.56
198602,    7.13,   -0.65,   -0.93,    0.53
198603,    4.88,   -0.51,   -0.47,    0.60
198604,   -1.31,    2.84,   -2.91,    0.52
198605,    4.62,   -1.31,   -0.11,    0.49
198606,    1.03,   -0.90,    1.39,    0.52
198607,   -6.45,   -3.38,    4.77,    0.52
198608,    6.07,   -4.18,    3.51,    0.46
198609,   -8.60,    2.28,    3.19,    0.45
